,Close,DateStamp,High,LastSale,Low,Open,Symbol,Volume
46,102.26,2016-03-11T00:00:00Z,102.28,102.26,101.5,102.22,AAPL,27390962
47,102.52,2016-03-14T00:00:00Z,102.91,102.52,101.78,101.92,AAPL,25070408
48,104.58,2016-03-15T00:00:00Z,105.18,104.58,103.85,103.97,AAPL,39981723
49,105.97,2016-03-16T00:00:00Z,106.31,105.97,104.52,104.52,AAPL,38293763
50,105.8,2016-03-17T00:00:00Z,106.47,105.8,104.95,105.52,AAPL,34386718
51,105.92,2016-03-18T00:00:00Z,106.5,105.92,105.19,106.34,AAPL,44202384
52,105.91,2016-03-21T00:00:00Z,107.65,105.91,105.14,105.93,AAPL,35495564
53,106.72,2016-03-22T00:00:00Z,107.29,106.72,105.2,105.25,AAPL,32436384
54,106.13,2016-03-23T00:00:00Z,107.07,106.13,105.9,106.48,AAPL,25696448
55,105.67,2016-03-24T00:00:00Z,106.25,105.67,104.89,105.44,AAPL,26129629
56,105.19,2016-03-28T00:00:00Z,106.19,105.19,105.06,106.0,AAPL,19409190
57,107.68,2016-03-29T00:00:00Z,107.79,107.68,104.88,104.9,AAPL,31174571
58,109.56,2016-03-30T00:00:00Z,110.42,109.56,105.939,108.65,AAPL,45549653
59,108.99,2016-03-31T00:00:00Z,109.9,108.99,108.88,109.72,AAPL,25867665
60,109.99,2016-04-01T00:00:00Z,110.0,109.99,100.928,108.78,AAPL,25867661
61,111.12,2016-04-04T00:00:00Z,112.19,111.12,106.0,110.42,AAPL,37331213
62,109.81,2016-04-05T00:00:00Z,110.73,109.81,109.1,109.68,AAPL,26571103
63,110.96,2016-04-06T00:00:00Z,110.98,110.96,109.2,110.23,AAPL,26403420
64,108.54,2016-04-07T00:00:00Z,110.42,108.54,108.12,109.95,AAPL,31788394
65,108.66,2016-04-08T00:00:00Z,109.77,108.66,108.17,109.0,AAPL,23579543
66,109.02,2016-04-11T00:00:00Z,110.62,109.02,108.83,108.97,AAPL,29402409
67,110.44,2016-04-12T00:00:00Z,110.5,110.44,108.66,109.34,AAPL,27227160
68,112.04,2016-04-13T00:00:00Z,112.34,112.04,110.8,110.8,AAPL,33242343
69,112.1,2016-04-14T00:00:00Z,112.39,112.1,110.0038,111.62,AAPL,25471318
70,109.85,2016-04-15T00:00:00Z,112.3,109.85,109.73,112.08,AAPL,46935276
71,107.48,2016-04-18T00:00:00Z,108.95,107.48,106.94,108.89,AAPL,60804590
72,106.91,2016-04-19T00:00:00Z,108.0,106.91,106.23,107.88,AAPL,32368190
73,107.13,2016-04-20T00:00:00Z,108.09,107.13,106.06,106.64,AAPL,30608984
74,105.97,2016-04-21T00:00:00Z,106.98,105.97,105.52,106.93,AAPL,31551647
75,105.68,2016-04-22T00:00:00Z,106.48,105.68,104.62,105.01,AAPL,33661201
76,105.08,2016-04-25T00:00:00Z,105.65,105.08,104.51,105.0,AAPL,28016048
77,104.35,2016-04-26T00:00:00Z,105.3,104.35,103.91,103.91,AAPL,56002389
78,97.82,2016-04-27T00:00:00Z,98.71,97.82,95.68,96.0,AAPL,114237355
79,94.83,2016-04-28T00:00:00Z,97.88,94.83,94.25,97.61,AAPL,82227792
80,93.74,2016-04-29T00:00:00Z,106.93,93.74,92.51,94.0,AAPL,68474310
81,93.64,2016-05-02T00:00:00Z,97.97,93.64,92.4,93.97,AAPL,48136563
82,95.18,2016-05-03T00:00:00Z,95.74,95.18,93.68,94.2,AAPL,56812933
83,94.42,2016-05-04T00:00:00Z,95.9,94.42,93.82,95.2,AAPL,41002620
84,93.24,2016-05-05T00:00:00Z,94.12,93.24,92.68,94.0,AAPL,35884598
85,92.72,2016-05-06T00:00:00Z,93.45,92.72,91.85,93.37,AAPL,43698431
86,92.79,2016-05-09T00:00:00Z,93.77,92.79,92.59,93.0,AAPL,32920951
87,93.42,2016-05-10T00:00:00Z,93.57,93.42,92.11,93.33,AAPL,33677937
88,92.51,2016-05-11T00:00:00Z,93.57,92.51,92.46,93.48,AAPL,28717153
89,90.34,2016-05-12T00:00:00Z,94.69,90.34,89.47,92.72,AAPL,76306584
90,90.52,2016-05-13T00:00:00Z,91.67,90.52,90.0,90.0,AAPL,44376790
91,93.88,2016-05-16T00:00:00Z,94.39,93.88,91.65,92.39,AAPL,61257811
92,93.49,2016-05-17T00:00:00Z,94.7,93.49,93.0,94.62,AAPL,46807775
93,94.56,2016-05-18T00:00:00Z,95.21,94.56,93.69,94.16,AAPL,42050651
94,94.2,2016-05-19T00:00:00Z,94.64,94.2,93.57,94.64,AAPL,30435979
95,95.22,2016-05-20T00:00:00Z,95.43,95.22,94.5,94.58,AAPL,32017599
96,96.43,2016-05-23T00:00:00Z,97.19,96.43,95.67,95.87,AAPL,37994142
97,97.9,2016-05-24T00:00:00Z,98.09,97.9,96.84,97.22,AAPL,35121925
98,99.62,2016-05-25T00:00:00Z,99.7429,99.62,98.11,98.67,AAPL,38618099
99,100.39,2016-05-26T00:00:00Z,100.73,100.39,94.009,99.68,AAPL,56320160
100,100.35,2016-05-27T00:00:00Z,100.47,100.35,99.245,99.44,AAPL,36335227
101,99.86,2016-05-31T00:00:00Z,100.4,99.86,98.82,99.61,AAPL,42294441
102,98.46,2016-06-01T00:00:00Z,99.54,98.46,98.33,99.02,AAPL,29156903
103,97.72,2016-06-02T00:00:00Z,97.85,97.72,92.72,97.6,AAPL,40176565
104,97.92,2016-06-03T00:00:00Z,98.27,97.92,97.45,97.78,AAPL,28503690
105,98.63,2016-06-06T00:00:00Z,101.89,98.63,97.55,97.96,AAPL,23288903
106,99.03,2016-06-07T00:00:00Z,99.87,99.03,98.96,99.25,AAPL,22400257
107,98.94,2016-06-08T00:00:00Z,99.56,98.94,98.6329,99.04,AAPL,20847614
108,99.65,2016-06-09T00:00:00Z,99.99,99.65,98.46,98.5,AAPL,26597196
109,98.83,2016-06-10T00:00:00Z,99.35,98.83,98.48,98.51,AAPL,31698527
110,97.34,2016-06-13T00:00:00Z,99.12,97.34,97.0926,98.69,AAPL,38010419
111,97.46,2016-06-14T00:00:00Z,98.475,97.46,96.75,97.35,AAPL,31926009
112,97.14,2016-06-15T00:00:00Z,98.94,97.14,97.03,97.82,AAPL,29442220
113,97.55,2016-06-16T00:00:00Z,97.75,97.55,96.07,96.43,AAPL,31309427
114,95.33,2016-06-17T00:00:00Z,96.65,95.33,95.3,96.62,AAPL,60996792
115,95.1,2016-06-20T00:00:00Z,97.74,95.1,95.03,96.0,AAPL,34393979
116,95.91,2016-06-21T00:00:00Z,99.5375,95.91,94.67,94.94,AAPL,35539647
117,95.55,2016-06-22T00:00:00Z,96.89,95.55,95.35,96.25,AAPL,29216035
118,96.1,2016-06-23T00:00:00Z,97.55,96.1,95.25,95.94,AAPL,32234281
119,93.4,2016-06-24T00:00:00Z,94.655,93.4,92.65,92.91,AAPL,75009305
120,92.04,2016-06-27T00:00:00Z,93.08,92.04,91.5,93.08,AAPL,46577225
121,93.59,2016-06-28T00:00:00Z,93.66,93.59,92.14,92.9,AAPL,40429057
122,94.4,2016-06-29T00:00:00Z,94.55,94.4,93.63,93.97,AAPL,36525223
123,95.6,2016-06-30T00:00:00Z,95.77,95.6,94.3,94.45,AAPL,35832033
124,95.89,2016-07-01T00:00:00Z,96.4853,95.89,95.3203,95.5,AAPL,26022807
125,94.99,2016-07-05T00:00:00Z,95.4,94.99,93.2899,95.39,AAPL,27680617
126,95.53,2016-07-06T00:00:00Z,95.66,95.53,94.37,94.6,AAPL,30924467
127,95.94,2016-07-07T00:00:00Z,96.5,95.94,95.62,95.75,AAPL,25138050
128,96.68,2016-07-08T00:00:00Z,96.89,96.68,94.4,96.49,AAPL,28903529
129,96.98,2016-07-11T00:00:00Z,97.65,96.98,96.73,96.75,AAPL,23789160
130,97.42,2016-07-12T00:00:00Z,97.7,97.42,95.16,97.17,AAPL,24163272
131,96.87,2016-07-13T00:00:00Z,97.67,96.87,96.84,97.41,AAPL,25887909
132,98.79,2016-07-14T00:00:00Z,98.99,98.79,96.1531,97.39,AAPL,38910896
133,98.78,2016-07-15T00:00:00Z,125.7,98.78,98.5,98.92,AAPL,30133381
134,99.83,2016-07-18T00:00:00Z,100.13,99.83,98.6,98.7,AAPL,36489954
135,99.87,2016-07-19T00:00:00Z,100.0,99.87,99.34,99.56,AAPL,23773236
136,99.96,2016-07-20T00:00:00Z,100.46,99.96,99.72,100.0,AAPL,26274991
137,99.43,2016-07-21T00:00:00Z,101.0,99.43,97.359,99.83,AAPL,32698964
138,98.66,2016-07-22T00:00:00Z,99.3,98.66,98.31,99.26,AAPL,28308292
139,97.34,2016-07-25T00:00:00Z,98.84,97.34,96.92,98.25,AAPL,40379283
140,96.67,2016-07-26T00:00:00Z,97.97,96.67,96.42,96.82,AAPL,56225762
141,102.95,2016-07-27T00:00:00Z,104.35,102.95,102.75,104.265,AAPL,92031766
142,104.34,2016-07-28T00:00:00Z,104.45,104.34,102.8125,102.85,AAPL,39857243
143,104.21,2016-07-29T00:00:00Z,104.55,104.21,103.68,104.19,AAPL,27727501
144,106.05,2016-08-01T00:00:00Z,106.16,106.05,104.3528,104.41,AAPL,38155999
145,104.48,2016-08-02T00:00:00Z,106.07,104.48,104.0,105.56,AAPL,33805589
146,105.79,2016-08-03T00:00:00Z,105.86,105.79,104.73,104.81,AAPL,30196109
147,105.87,2016-08-04T00:00:00Z,106.0086,105.87,105.28,105.58,AAPL,27388779
148,107.48,2016-08-05T00:00:00Z,107.65,107.48,106.16,106.22,AAPL,40546900
149,108.37,2016-08-08T00:00:00Z,108.37,108.37,107.16,107.52,AAPL,28032034
150,108.81,2016-08-09T00:00:00Z,108.94,108.81,108.01,108.23,AAPL,26310387
151,108.0,2016-08-10T00:00:00Z,108.9,108.0,107.76,108.71,AAPL,24002894
152,107.93,2016-08-11T00:00:00Z,108.94,107.93,107.85,108.52,AAPL,27478723
153,108.18,2016-08-12T00:00:00Z,108.44,108.18,107.76,107.79,AAPL,18658124
154,109.48,2016-08-15T00:00:00Z,109.54,109.48,108.08,108.14,AAPL,25866160
155,109.38,2016-08-16T00:00:00Z,110.23,109.38,108.13,109.63,AAPL,33755527
156,109.22,2016-08-17T00:00:00Z,109.37,109.22,108.34,109.1,AAPL,25352333
157,109.06,2016-08-18T00:00:00Z,109.6,109.06,108.556,109.24,AAPL,21981885
158,109.36,2016-08-19T00:00:00Z,109.69,109.36,108.36,108.77,AAPL,25362575
159,108.51,2016-08-22T00:00:00Z,109.1358,108.51,107.85,108.89,AAPL,25818028
160,108.85,2016-08-23T00:00:00Z,109.9549,108.85,108.53,108.59,AAPL,21252462
161,108.03,2016-08-24T00:00:00Z,108.9475,108.03,107.68,108.565,AAPL,23674170
162,107.57,2016-08-25T00:00:00Z,107.88,107.57,106.68,107.39,AAPL,25081940
163,106.94,2016-08-26T00:00:00Z,107.95,106.94,106.31,107.45,AAPL,27765028
164,106.82,2016-08-29T00:00:00Z,107.44,106.82,106.29,106.62,AAPL,24968422
165,106.0,2016-08-30T00:00:00Z,108.86,106.0,105.5,105.79,AAPL,24623786
166,106.1,2016-08-31T00:00:00Z,106.63,106.1,105.64,105.66,AAPL,29647738
167,106.73,2016-09-01T00:00:00Z,106.8,106.73,105.62,106.14,AAPL,26690469
168,107.73,2016-09-02T00:00:00Z,108.0,107.73,106.82,107.75,AAPL,26790731
169,107.7,2016-09-06T00:00:00Z,108.3,107.7,107.51,107.83,AAPL,26865828
170,108.36,2016-09-07T00:00:00Z,108.76,108.36,107.07,107.83,AAPL,42349736
171,105.52,2016-09-08T00:00:00Z,107.7,105.52,105.24,107.25,AAPL,52959295
